Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,Property Type,Size,Price per Area,Price per Room
ampang,680,4,3,,,Terrace/Link House,1300,0.523076923,170
ampang,2000,3,2,2,,Flat,1217,1.643385374,666.6666667
ampang,2700,2,2,,Partly Furnished,Condominium,1400,1.928571429,1350
ampang,2100,2,2,1,Partly Furnished,Serviced Residence,856,2.453271028,1050
ampang,2400,2,2,,Fully Furnished,Serviced Residence,856,2.803738318,1200
ampang,2700,,,2,Fully Furnished,Serviced Residence,950,2.842105263,
ampang,4000,3,2,,Fully Furnished,Condominium,1360,2.941176471,1333.333333
ampang,3300,3,2,2,Fully Furnished,Serviced Residence,950,3.473684211,1100
ampang,2500,1,1,1,,Serviced Residence,680,3.676470588,2500
ampang,3500,2,2,1,Fully Furnished,Serviced Residence,860,4.069767442,1750
ampang,1280000,,,,,Residential Land,100000,12.8,
ampang,1600000,4,3,,Partly Furnished,Terrace/Link House,40000,40,400000
ampang,880000,,,,Unfurnished,Bungalow,7976,110.330993,
ampang,22000000,,,,,Residential Land,182952,120.2501203,
ampang,3000000,7,6,5,Partly Furnished,Bungalow,21635,138.6642015,428571.4286
ampang,600000,4,3,,Partly Furnished,Terrace/Link House,4000,150,150000
ampang,1020000,,,,,Residential Land,6800,150,
ampang,110000,3,2,1,Unknown,Terrace/Link House,720,152.7777778,36666.66667
ampang,700000,,,,,Residential Land,4231,165.4455212,
ampang,1280000,5,3,3,Unfurnished,Bungalow,7115,179.9016163,256000
ampang,1726560,8,6,6,,Residential Land,9592,180,215820
ampang,1726560,,,,Unfurnished,Residential Land,9592,180,
ampang,1750000,,,,,Residential Land,9590,182.4817518,
ampang,1700000,,,,Unfurnished,Residential Land,9052,187.8038003,
ampang,1350000,5,3,7,Partly Furnished,Bungalow,7115,189.7399859,270000
ampang,1238000,,,,,Bungalow,6400,193.4375,
ampang,1950000,,,,,Residential Land,9865,197.6685251,
ampang,600000,4,4,,,Bungalow,3000,200,150000
ampang,2800000,5,5,,Partly Furnished,Bungalow,14000,200,560000
ampang,800000,4,3,2,Partly Furnished,Terrace/Link House,3950,202.5316456,200000
ampang,1500000,6,4,,,Terrace/Link House,7189,208.6521074,250000
ampang,1400000,5,3,,,Residential Land,6500,215.3846154,280000
ampang,128000,2,1,,Unfurnished,Flat,592,216.2162162,64000
